text,type
"What's your opinion on dark mode vs light mode?",OTHER
"I wonder how many people are coding right now.",OTHER
"Do you think AI will replace programmers?",OTHER
"Just curious—how do you know all this?",OTHER
"Can you remind me what you are allowed to do?",OTHER
"Is it weird that I enjoy writing documentation?",OTHER
"What do you think is the hardest part of learning?",OTHER
"Does everyone struggle with recursion at first?",OTHER
"Is it okay to take long breaks when coding?",OTHER
"I’m not sure what I even want to work on today.",OTHER
"Do you also generate ideas, or only respond?",OTHER
"Why do I keep procrastinating on small tasks?",OTHER
"Is it fine to rewrite a project just for fun?",OTHER
"I’m just thinking out loud about my workflow.",OTHER
"Do you think coding is like solving puzzles?",OTHER
"I'm not sure how I feel about AI tools lately.",OTHER
"What’s the best mindset for learning?",OTHER
"Do you think creativity matters in programming?",OTHER
"Why do I always get stuck on the easy parts?",OTHER
"I'm just venting because debugging is painful today.",OTHER
"Is it weird to enjoy reading documentation?",OTHER
"Kind of lost—maybe I need coffee first.",OTHER
"Do you think pair programming helps beginners?",OTHER
"How do people stay motivated long-term?",OTHER
"Does everyone else also make silly mistakes?",OTHER
"I feel like I'm missing something obvious.",OTHER
"Why does my brain stop working late at night?",OTHER
"I'm not asking anything—just talking.",OTHER
"Sometimes I forget why I started coding in the first place.",OTHER
"I'm probably overthinking things again.",OTHER
"Do you think multitasking is real?",OTHER
"Just checking if you're still here.",OTHER
"Why is naming things so hard?",OTHER
"I think I just need a break.",OTHER
"I'm not sure what else to say right now.",OTHER
